strategy,email_id,subject,gold_category,predicted_category,gold_priority,predicted_priority,latency_seconds,llm_calls,tool_calls,input_tokens,output_tokens,total_tokens,classify_calls_uninstrumented,error
sequential,24,Payment not reflected on account,Billing & Payment,Billing & Payment,MEDIUM,MEDIUM,34.83,4,3,5685,336,6021,1,
sequential,25,Price increase without notice,Billing & Payment,Billing & Payment,MEDIUM,MEDIUM,39.62,5,4,7349,345,7694,1,
sequential,26,Cancellation request – billing continues,Billing & Payment,Billing & Payment,URGENT,MEDIUM,67.66,4,9,6630,618,7248,1,
sequential,27,Cannot update payment method,Billing & Payment,Billing & Payment,MEDIUM,URGENT,74.12,4,8,6714,760,7474,1,
sequential,28,Invoice currency wrong,Billing & Payment,Billing & Payment,LOW,MEDIUM,30.75,4,3,5613,254,5867,1,
sequential,29,Early termination fee not agreed,Billing & Payment,Complaints & Escalations,MEDIUM,MEDIUM,30.03,4,3,5621,233,5854,1,
sequential,30,Discount not applied correctly,Billing & Payment,Billing & Payment,MEDIUM,MEDIUM,38.23,5,4,7369,310,7679,1,
sequential,31,Request refund for unused licenses,Returns & Refund Requests,Returns & Refund Requests,LOW,MEDIUM,55.7,4,6,6466,476,6942,1,
sequential,32,Refund for duplicate payment,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,59.02,3,7,4916,532,5448,1,
sequential,33,Return of licenses – we switched to competitor,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,33.56,4,3,5671,299,5970,1,
sequential,34,Refund for unusable API feature,Returns & Refund Requests,Returns & Refund Requests,LOW,MEDIUM,112.45,4,12,7442,1307,8749,1,
sequential,35,Wrong subscription tier – refund difference,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,28.4,2,2,2679,228,2907,1,
sequential,36,Refund for non-functional add-on,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,101.42,4,13,7202,976,8178,1,
sequential,37,Cancel and refund within 14 days,Returns & Refund Requests,Returns & Refund Requests,URGENT,MEDIUM,92.72,4,9,7062,1094,8156,1,
sequential,38,Partial refund for outage period,Returns & Refund Requests,Returns & Refund Requests,LOW,MEDIUM,114.47,4,13,7446,1315,8761,1,
sequential,39,Refund request – double charge for add-on,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,75.68,4,9,6765,713,7478,1,
sequential,40,License return – purchased by mistake,Returns & Refund Requests,Returns & Refund Requests,URGENT,MEDIUM,104.24,4,10,7176,1195,8371,1,
sequential,41,How to add team members?,General Questions / FAQs,General Questions / FAQs,LOW,MEDIUM,32.03,4,3,5635,276,5911,1,
sequential,42,Do you offer on-premises deployment?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,64.54,4,9,6470,531,7001,1,
sequential,43,Supported file types for attachments,General Questions / FAQs,General Questions / FAQs,LOW,LOW,48.29,4,6,6309,424,6733,1,
sequential,44,Is there a free trial for Enterprise?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,30.11,4,3,5632,272,5904,1,
sequential,45,GDPR compliance details,General Questions / FAQs,General Questions / FAQs,MEDIUM,MEDIUM,62.49,4,8,6447,564,7011,1,
sequential,46,How to export all projects?,General Questions / FAQs,General Questions / FAQs,LOW,MEDIUM,48.91,4,6,6217,398,6615,1,
sequential,47,API rate limits?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,44.53,4,4,5925,435,6360,1,
sequential,48,Custom domain for workspace?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,32.8,3,3,4012,245,4257,1,
sequential,49,Do you have a Slack integration?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,66.86,4,9,6469,588,7057,1,
sequential,50,What's your SLA for support tickets?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,48.03,4,6,6266,426,6692,1,
sequential,51,Worst support experience ever,Complaints & Escalations,Complaints & Escalations,URGENT,URGENT,34.59,4,3,5611,333,5944,1,
sequential,52,Billing error ignored for weeks,Complaints & Escalations,Billing & Payment,URGENT,URGENT,34.14,4,3,5711,308,6019,1,
sequential,53,Lack of transparency on data breach,Complaints & Escalations,Complaints & Escalations,URGENT,URGENT,32.77,4,3,5327,248,5575,1,
sequential,54,Sales team promised features that don't exist,Complaints & Escalations,Complaints & Escalations,URGENT,MEDIUM,32.86,4,3,5757,284,6041,1,
sequential,55,Account deactivated without notice,Complaints & Escalations,Complaints & Escalations,URGENT,MEDIUM,98.03,4,10,7117,1101,8218,1,
sequential,56,Support agent rude and unhelpful,Complaints & Escalations,Complaints & Escalations,MEDIUM,URGENT,61.45,4,6,6478,585,7063,1,
sequential,57,Repeated downtime – violating SLA,Complaints & Escalations,Technical / IT Problems,URGENT,URGENT,32.94,3,3,4055,248,4303,1,
sequential,58,Hidden fees discovered,Complaints & Escalations,Billing & Payment,MEDIUM,MEDIUM,37.92,5,4,7417,320,7737,1,
sequential,59,Lost our project data,Complaints & Escalations,Complaints & Escalations,URGENT,URGENT,35.62,4,3,5356,287,5643,1,
sequential,60,Automatic renewal ignored cancellation,Complaints & Escalations,Billing & Payment,URGENT,URGENT,35.81,4,3,5665,325,5990,1,
